ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,individual_result,Скор/стаж,Перспективность,Возраст,Количество сложных задач,Количество средних задач
ФИО_401,0,Участник мероприятия,Сетевое и системное администрирование; ,Токарь с ЧПУ,,06.2014,"Филиал АО ""КОНСИСТ-ОС"" ""Кольский""",,27.05.1986,2015-09-14,,,2015,,0.0,0.0,0,33.23931111380391,,
ФИО_563,0,Участник мероприятия,Охрана труда; ,"Инженер-программист (по безопасности конфиденциальной информации), ведущий",Инженер,2016-10-10,АО Никимт атомстрой,нет в предлагаемом списке,1997-08-06,2022-03-28,,,,,0.0,0.0,0,38.60696249549206,,
ФИО_90,1,Участник мероприятия,Управление жизненным циклом; ,Студент,,,"""Акционерное общество """"Атомэнергосбыт""""""",,1999-07-31,19.06.2021,,,,,0.0,0.06510699479312022,0,19.073952470348317,,
ФИО_567,0,Участник мероприятия,Управление качеством; ,Эксперт,,2019-04-01,"""ФГУП """"Комбинат """"Электрохимприбор""""""",нет в предлагаемом списке,1998-04-18,2022-07-25,,,,,0.0,0.05869936829133947,0,27.093411113470587,,
ФИО_239,0,Участник мероприятия,Токарные работы на станках с ЧПУ; ,электрослесарь по ремонту автоматики и средств измерения,,2012-10-01,Атомстройэкспорт,,28.01.1984,,,,,,48.87878154811888,,0,,,
ФИО_523,0,Участник мероприятия,Мехатроника; ,"Ведущий инженер по ремонту реакторов, ТТО 4ой очереди",,2012-11-01,"Акционерное общество ""АтомЭнергоСбыт""",,1987-05-06,,,,,,0.0,,0,,,
ФИО_208,0,Участник мероприятия,Управление жизненным циклом; ,Специалист 2 категории,Инженер,,"""ФГУП """"Производственное объединение """"Маяк""""""",,1992-07-06,,,,,,5.450455918384515,0.0,0,32.67760433314355,,
ФИО_92,0,Участник мероприятия,Электроника; ,студент,,2014-06-10,АО «АТОМПРОЕКТ»,,2003-06-14,2012-05-07,,,,,0.0,,0,,,
ФИО_259,0,Участник мероприятия,Информационная безопасность; ,Монтажник,,,"""Акционерное общество """"Государственный научный центр Российской Федерации Троицкий институт инновационных и термоядерных исследований""""""",,,2021-10-23,,,,,0.0,,0,,,
ФИО_326,0,Участник мероприятия,Мехатроника; ,"Инженер (по инженерно-техническим средствам физической защиты, он же администратор автоматизированной системы контроля доступом комбината), 1 категория",,01.09.2014,"Федеральное государственное унитарное предприятие «Производственное объединение «Маяк», завод 235, цех 5",,02.05.1993,,,,,,26.43373306871856,,0,37.13526437874582,,
ФИО_532,0,Участник мероприятия,Инженерное мышление. Каракури; ,ведущий геодезист,,янв.11,ГБПОУ МГОК,,27.01.1991,2021-05-14,,,,,42.85678161301861,,0,,,
ФИО_600,0,Участник мероприятия,Сетевое и системное администрирование; ,Инженер по качеству,,28-03-2022,АО ЧМЗ,нет в предлагаемом списке,12.12.1986,2021-05-14,,,,,25.475709025681372,,0,,,
ФИО_0,0,Участник мероприятия,Информационная безопасность; ,ведущий инженер,,нет,"АО ""Чепецкий механический завод""",,,,,,,,13.320424823385505,,0,,,
ФИО_353,1,Участник мероприятия,Программные решения для бизнеса; ,нет,,01.03.2021,"Национальный исследовательский ядерный университет ""МИФИ""",,1985-12-13,2019-10-17,,ГАПОУ СО УРТК им. А.С.Попова,2015;2014,Электроэнергетика и электротехника,39.204309184099856,0.1457798641732425,0,28.563719985031387,,
ФИО_178,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Архитектор,,1997-09-01,"""ФГУП """"Комбинат """"Электрохимприбор""""""",Инженер-конструктор,1997-12-21,,,,,,0.0,0.11006044464557814,0,28.169085109625264,1.2155559510025957,1.7568438971417497
ФИО_712,0,Участник мероприятия,Охрана труда; ,Инженер 1 категории по эксплуатации,Инженер,2019,"""Акционерное общество """"Опытное конструкторское бюро машиностроения имени И.И. Африкантова""""""",,1996-04-27,,,,,,7.406961883924925,,0,,,
ФИО_220,0,Участник мероприятия,Бетонные строительные работы; ,Инженер по управлению проектами,,05.2017,"АО ""Гринатом"" Отдел систем промышленной автоматизации",,,,,,,,37.33458171105286,0.09687009264079104,0,29.881710148041698,,
ФИО_274,0,Участник мероприятия,Управление жизненным циклом; ,,,2014-03-04,Завод 156,,26.03.1984,,,,2015,14.05.02,0.0,,0,,,
ФИО_190,0,Участник мероприятия,Информационная безопасность; ,Ведущий специалист,,-,"""АО """"Владимирское производственное объединение """"Точмаш""""""",,,,,,,,5.137715662446354,,0,,,
ФИО_648,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Нету,,03.2017,"Производственное обьединение Маяк, Реакторный завод",,1985-03-25,2021-05-14,среднее профессиональное,ИрГУПС,2015;2014,,40.14265500452055,,0,,,
ФИО_370,0,Участник мероприятия,Фрезерные работы на станках с ЧПУ; ,Инженер-технолог 1категории,,"11,2007","""АО """"Сибирский химический комбинат""""""",,1988-06-05,,,,,,40.88498558682096,0.1383789043792582,0,31.30246276140015,,
ФИО_145,0,Участник мероприятия,Аддитивные технологии; ,ведущий инженер,Нет,2006-05-05,Тюменская дистанция гражданских сооружений,,1985-01-14,2020-12-01,,,,,45.21501716990722,0.17663537115864125,0,40.580877040301864,,
ФИО_551,0,Участник мероприятия,Бетонные строительные работы; ,Эксперт по технической поддержке,,дек.13,Федеральное Государственное Унитарное Предприятие Приборо Строительный Завод,,1999-07-06,2016-07-01,,,,,25.113576754561546,0.12676394316214415,0,28.95179521081009,1.3599367702914984,1.984260879441741
ФИО_41,0,Участник мероприятия,Охрана окружающей среды; ,Заместитель начальника участка ИТП ЦКР,Специалист (рабочие специальности),1995-09-18,Филиал АО ''АЭМ-технологии'' ''Атоммаш'' в г. Волгодонск,Токарные / Фрезерные работы на станках с ЧПУ,,2021-08-02,,,,,43.870265252545536,,0,,,
ФИО_372,0,Участник мероприятия,Сетевое и системное администрирование; ,инженер-конструктор,,2016,"""Федеральное Государственное Производственное объединение """"Маяк""""""",,23.06.1986,2012-01-11,,,,,17.212362731466595,0.0,0,37.0288356163643,,
ФИО_507,0,Участник мероприятия,Сетевое и системное администрирование; ,Слесарь- инструментальщик,,янв.16,"""АО """"ВПО"""" Точмаш"""" - Центр ОКР",,2001-02-18,2014-06-10,,,,,21.110668142633703,,0,39.461573770160605,,
ФИО_272,0,Участник мероприятия,Охрана окружающей среды; ,Слесарь по КИПиА 4 разряда,,2020-08-19,"""ФГУП """"Приборостроительный завод""""""",,07.09.1993,2022,Среднее специальное ,,,,42.8039814449527,0.0,0,35.78119554019648,,
ФИО_300,0,Участник мероприятия,Информационная безопасность; ,Инженер-технолог 2 категории,,авг.13,АО Центральное конструкторское бюро машиностроения,,1991-06-15,,,,,,43.97389710144286,,0,,,
ФИО_460,0,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер-проектировщик 2 категории,,09.2007,Отдел технического контроля,,1993-07-29,2021-12-13,,,,,25.898085100849137,,0,,,
ФИО_89,0,Участник мероприятия,Инженерное мышление. Каракури; ,инженер,,,"""ФГУП """"Комбинат """"Электрохимприбор""""""",,,,среднее профессиональное,Ульяновский государственный университет,,Архитектор-проектировщик,54.55028301041932,0.23683095967011758,0,28.594894880346722,,
ФИО_257,0,Участник мероприятия,Машинное обучение и большие данные; ,Инженер,,,"""ФГУП """"Горно-химический комбинат""""""",,1991-12-02,,,,,,23.26585110462285,,0,,,
ФИО_264,1,Участник мероприятия,Аналитический контроль; ,начальник отдела,,2014-03-04,"""АО """"Центральный проектно-технологический институт""""""",,1980-11-03,,,,,,26.03475560097364,,0,,,
ФИО_4,0,Участник мероприятия,Информационная безопасность; ,главный специалист,,дек.07,"""АО """"Сибирский химический комбинат""""""",,,,,,,,15.989772057547313,0.009168560176559273,0,37.56285012741446,1.1748580668643955,2.222109280328373
ФИО_581,1,Участник мероприятия,Управление жизненным циклом; ,Электрогазосварщик 6 разряда,Инженер,2004-02-01,"ФГУП ""НИТИ им. А.П. Александрова""",,1999-06-20,2020-03-05,,,2019,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",9.30288799776307,,0,,,
ФИО_439,0,Участник мероприятия,Инженер-конструктор; ,Разработчик,,03.2013,АО «Сибур-Химпром»,,,декабрь 2018,,НИЯУ МИФИ,,,1.9689016598326496,,0,33.87620213516313,,
ФИО_420,0,Участник мероприятия,Радиационный контроль; ,Водитель,Инженер,ноя.16,Озёрский технический колледж,Электромонтаж,17.06.1990,2012-02-09,,,,,47.33641983505055,,0,,,
ФИО_474,0,Участник мероприятия,Машинное обучение и большие данные; ,фрезеровщик,,2019,Федеральное государственное унитарное предприятие «Федеральный экологический оператор»,,1977-05-15,,,"НИЯУ ""МИФИ""",2013,Физика металлоа,34.832017838927015,,0,,,
ФИО_66,1,Участник мероприятия,Сварочные технологии; ,Эксперт,,"11,2011",Акционерное общество Атомтрубопроводмонтаж ,,,,,,,,26.45082113818154,0.018772134299711564,0,28.461922183996823,1.0,2.137639530781859
ФИО_234,1,Участник мероприятия,Промышленная автоматика; ,электромеханик по СА и ПТО,,1996,"""Филиал АО """"АЭМ-технологии"""" """"Петрозаводскмаш"""" в г. Петрозаводск""",,1999-04-25,,,,,,47.83457631761716,,0,,,
ФИО_323,0,Участник мероприятия,Сетевое и системное администрирование; ,Специалист,,01.2014,"""АО """"Хиагда""""""",,,,,,,,0.0,0.0,0,40.18568073750349,,
ФИО_238,0,Участник мероприятия,Строительный контроль; ,Инженер по автоматизированным системам управления производством,,апр.08,ООО «Препрег-Дубна»,Вывод из эксплуатации объектов использования атомной энергии,27.01.1992,,,,,,0.0,0.05948424856778262,0,29.96364406801257,,
ФИО_250,0,Участник мероприятия,Аналитический контроль; ,Инженер по качеству,Инженер,2008-03-20,"""АО """"ЦКБМ""""""",,,2016-07-01,,МКАГ,,Землеустройство,0.0,,0,,,
ФИО_573,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,Электромонтер,,"10,2019","АО ""ЦПТИ""",,1999-02-18,2021-11-01,,,,,39.03415334284719,,0,,,
ФИО_110,0,Участник мероприятия,Программные решения для бизнеса; ,Токарь,Специалист (рабочие специальности),2016,АО Научный и Конструкторский Институт Монтажной Технологии-Атомстрой,нет в предлагаемом списке,,2021-12-01,,,,,0.0,,0,,,
ФИО_495,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Арматурщик,,1993-07-25,Ведущий научно-исследовательский проектно-изыскательский институт промышленной технологии,,1999-07-31,2021-09-17,,,2022,,24.669725254413386,0.17029547534528705,0,27.094366335792802,,
ФИО_253,1,Участник мероприятия,Охрана труда; ,,,,"""ФГУП """"ПО"""" Маяк""""""",,1987-03-20,,Высшее,,,,25.49882109073381,,0,,,
ФИО_129,0,Участник мероприятия,Инженерное мышление. Каракури; ,Дозиметрист,Инженер,08.2008,"""АО """"Сибирский химический комбинат""""""",Сметное дело,1995-07-02,2022-03-09,,,,,60.50404397445299,,0,,,
ФИО_266,0,Участник мероприятия,Информационная безопасность; ,Главный специалист,,07.2020,"""АО """"Ангарский электролизный химический комбинат""""""",,27.05.1986,,,,,,19.2144724017272,0.120654623975152,0,23.773909344258286,1.577919523988391,2.0161771001395334
ФИО_484,0,Участник мероприятия,Водитель спецавтомобиля; ,Инженер по качеству,,2016-10-10,Московский колледж архитектуры и градостроительства,,1991-05-22,20.10.2017,,,,,16.215533650431087,0.05790759213487304,0,42.89158813553497,,
ФИО_192,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Начальник группы,,июл.18,"""АО """"АТОМЭНЕРГОПРОЕКТ""""""",,05.05.1986,2019-05-22,,,,,0.0,,0,,,
ФИО_270,1,Участник мероприятия,Сетевое и системное администрирование; ,Арматурщик 6 разряда,,14.11.2005,"""АО""""НИКИМТ-АТОМСТРОЙ"""" Дирекция на Курской АЭС""",,,2022-04-11,,,,,30.26554665394022,,0,,,
ФИО_432,1,Участник мероприятия,Инженерное мышление. Каракури; ,Специалист 1 категории,,,Управление автомобильного транспорта,,12.11.1988,,,,,,22.317295562382718,,0,,,
ФИО_200,0,Участник мероприятия,Программные решения для бизнеса; ,Инженер-технолог 1 категории,,янв.99,Уральский технологический колледж филиал НИЯУ МИФИ,,,2021-05-14,,,,,8.577471885329219,,0,,,
ФИО_442,0,Участник мероприятия,Сетевое и системное администрирование; ,Студент,,,ОКБМ АФРИКАНТОВ ,,11.05.1996,,,,,,8.39069959833174,,0,28.804077328502295,,
ФИО_248,0,Участник мероприятия,Электроника; ,Монтажник по монтажу стальных и железобетонных конструкций,Инженер,03.2010,"""Акционерное Общество """"Институт Реакторных Материалов""""""",Сметное дело,26.03.1984,"11,2013",,,,,24.952263359055976,,0,39.43901095161379,,
ФИО_331,0,Участник мероприятия,Электромонтаж; ,,,2020-01-09,"Акционерное общество ""Опытное Конструкторское Бюро Машиностроения имени И.И. Африкантова""",нет в предлагаемом списке,14.12.1986,,,,,,15.006312717641826,0.09847729807107987,0,24.76153142917729,1.7511498611582859,2.2170564677152527
ФИО_436,1,Участник мероприятия,Строительный контроль; ,инженер-технолог,,июнь 2003,ОАО ФНПЦ ПО Старт,,1997-11-27,2012-11-02,,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Уральский государственный лесотехнический университет""",2006,Эксплуатация железных дорог,34.588684182003604,,0,,,
ФИО_348,1,Участник мероприятия,Неразрушающий контроль; ,Нет,,01.2019,Новосибирский национально исследовательский государственный университет,,,2019-01-14,,,,,35.66269878597123,,0,,,
ФИО_278,1,Участник мероприятия,Управление жизненным циклом; ,Инженер-эколог 1 категории,Инженер,01.2004,"""ФГУП """"Комбинат """"Электрохимприбор""""""",Управление качеством,,2018-11-05,,,,,0.0,,0,,,
ФИО_133,0,Участник мероприятия,Сметное дело; ,Инженер по качеству,,03.2016,"""АО Инжиниринговая компания """"АЭМ-технологии""""",,,2007-11-06,,БГТУ им. Д.Ф. Устинова,,,30.971121253075847,,0,19.19226352850258,,
ФИО_64,1,Участник мероприятия,Информационная безопасность; ,Младший специалист WS,,,"""Филиал АО """"Концерн Росэнергоатом"""" Белоярская АЭС""",,1998-08-09,,,,,,0.0,,0,20.586074993977803,,
ФИО_173,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Оператор станков с ЧПУ,,2012-06-01,"""АО """"ЕВРАЗ ОБЪЕДИНЕННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""""""",,,,,,,,6.42749274832698,,0,,,
ФИО_498,1,Участник мероприятия,Инженер-конструктор; ,Инженер - конструктор,,,АО Гринатом,,2022-07-20,,,,,,25.620065933924778,,0,,,
ФИО_366,0,Участник мероприятия,Сварочные технологии; ,Специалист по сметной документации,,,Акционерное общество «Русатом Автоматизированные системы управления»,,,,,,,,16.654947954566367,0.11492473025535424,0,36.06230042711337,,
ФИО_227,0,Участник мероприятия,Инженер-конструктор; ,Фрезеровщик 5го разряда,,2014-11-11,"""АО """"Сибирский химический комбинат""""""",,,,,,,,0.0,,0,,,
ФИО_530,0,Участник мероприятия,Водитель спецавтомобиля; ,Электрогазосварщик,,2020-09-08,Институт компьютерных технологий и информационной безопасности при Южном Федеральном Университете,,1997-11-27,,среднее профессиональное,,2026,Мастер общестроительных работ,17.351634272518545,,0,27.49342346901983,,
ФИО_275,0,Участник мероприятия,Аналитический контроль; ,,,08.2012,Федеральное государственное унитарное предприятие « Горно химический комбинат»,,1981-01-26,2018-10-16,,ИрГУПС,,,0.0,,0,,,
ФИО_504,0,Участник мероприятия,Инженерное проектирование; ,Главный спецалист,Инженер,,"Ведущий инженер по ремонту электрического цеха участка по ремонту генераторов, электродвигателей 6 и 0.4 кВ",нет в предлагаемом списке,1999-06-20,,,,,,0.0,0.0,0,30.13665875092321,,
ФИО_150,1,Участник мероприятия,Электромонтаж; ,Электромонтер,Инженер,2003-02-23,Филиал АО ''АЭМ-технологии'' ''Атоммаш'' в г. Волгодонск,,1981-01-26,2021-11-01,,,,,29.319730274459552,,0,,,
ФИО_561,0,Участник мероприятия,Управление жизненным циклом; ,Подземный Электрогазосварщик 6-го  разряда,,02.09.2019,Ведущий проектно-изыскательский и научно-исследовательский инсти,,1991-03-06,,"высшее, специалитет",КГТА им. В.А. Дегтярева ,,"Бухгалтерский учет, анализ и аудит",2.4851955515576325,0.1537299336052244,0,28.510082927803676,,
ФИО_108,0,Участник мероприятия,Строительный контроль; ,Функциональный архитектор,Инженер,янв.19,"Федеральное Государственное Унитарное Предприятие ""Приборостроительный завод имени К.А.Володина""",Радиационный контроль,1983-02-22,01.06.2021,,,,,0.0,0.021522982448943816,0,38.83512570789464,,
ФИО_456,0,Участник мероприятия,Бетонные строительные работы; ,Слесарь КИПиА,,2011,"""АО """"Сибирский химический комбинат""""""",,,,,,,,27.874912415989364,,0,,,
ФИО_21,0,Участник мероприятия,Бетонные строительные работы; ,Младший специалист WS,,май.06,"""АО """"Опытное Конструкторское Бюро Машиностроения имени И.И. Африкантова""""""",,,,,,,,17.150497963259816,0.0,0,27.577913159805323,,
ФИО_447,0,Участник мероприятия,Электроника; ,Разработчик,,май.12,ОБНИНСКИЙ ИНСТИТУТ АТОМНОЙ ЭНЕРГЕТИКИ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЯДЕРНЫЙ УНИВЕРСИТЕТ «МИФИ»,,1991-02-23,2012-05-07,,,,,23.57356905801093,0.14334798438989077,0,31.439518355789907,1.3544217624506114,2.788796982384199
ФИО_313,0,Участник мероприятия,Охрана окружающей среды; ,,,04.2019,Отдел технического контроля,,1997-02-18,2021-05-26,,Московский государственный институт стали и сплавов (технологический университет),,,24.929138825792037,,0,,,
ФИО_520,1,Участник мероприятия,Охрана окружающей среды; ,инженер-технолог участка изготовления твэлов транспортного направления,,2013-07-06,НИЯУ МИФИ,,1990-05-22,2021-09-07,,,,,26.893752887565427,,0,,,
ФИО_310,0,Участник мероприятия,Мехатроника; ,Электромонтёр,,2022-07-01,ООО «НИИАР-ГЕНЕРАЦИЯ»,,1986-04-10,,,,,,24.072439065206808,0.0287581843436523,0,27.37416743703465,,
ФИО_393,0,Участник мероприятия,Информационная безопасность; ,оператор станков с ПУ,,03.2018,Подразделение Multi-D,,1986-08-30,,,,,,21.906154222370198,,0,31.366165439040337,,
ФИО_506,1,Участник мероприятия,Работы на токарных универсальных станках; ,Инженер,,08.2005,Санкт-Петербургский Государственный Университет,,1997-08-06,2021-09-07,,НИЯУ МИФИ,,,85.69648987916514,0.33867904338730526,0,27.337228126559484,,
ФИО_528,0,Участник мероприятия,Инженер-конструктор; ,инженер-эколог,,,"Федеральное государственное унитарное предприятие ""Приборостроительный завод имени К.А. Володина""",нет в предлагаемом списке,08.06.1991,,,,,,7.5913075272685475,,0,,,
ФИО_7,0,Участник мероприятия,Мехатроника; ,Инженер-физик,,авг.07,"""АО """"Центральное конструкторское бюро машиностроения""""""",,,,,,,,0.0,,0,31.25052104027896,,
ФИО_146,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,специалист по технической защите информации,Инженер,09.2014,"""ФГУП """"ПО""""МАЯК""""""",,17.01.1993,,,,,,62.555561614810046,,0,,,
ФИО_186,0,Участник мероприятия,Мехатроника; ,Ведущий инженер-проектировщик,,"10,2006","""ФГУП """"Приборостроительный завод""""""",,07.11.1986,,,,,,0.0,,0,,,
ФИО_285,0,Участник мероприятия,Информационная безопасность; ,Инженер-конструктор 2 категории,,02.09.2015,"Акционерное общество ""Далур""",,1993-03-27,2013-09-18,,,,,26.024185226085187,0.0,0,40.845205082837566,,
ФИО_258,1,Участник мероприятия,Электромонтаж; ,Инженер-лаборант по физикомеханическим испытаниям 1 категории,Специалист (рабочие специальности),2009-09-01,"""ФГУП """"Всероссийский научно-исследовательский институт автоматики им. Н.Л. Духова""""""",,1986-08-30,2018-06-06,,,,,38.766309367665926,,0,,,
ФИО_144,0,Участник мероприятия,Управление качеством; ,нет,,авг.13,Северский технологический институт,нет в предлагаемом списке,,,,,,,0.0,0.0,0,27.095421000704413,,
ФИО_449,1,Участник мероприятия,Управление качеством; ,Слесарь- инструментальщик,Инженер,2007-08-10,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,16.05.1996,2016-02-24,,,,Промышленная теплоэнергетика,5.03450782904293,,0,,,
ФИО_487,1,Участник мероприятия,Управление жизненным циклом; ,Инженер-технолог 1 категории,,2019-12-05,"Акционерное общество ""Опытное Конструкторское Бюро Машиностроения имени И.И. Африкантова""",,,,,,,,0.0,,0,,,
ФИО_534,0,Участник мероприятия,Электромонтаж; ,студент,,2007-11-01,Цех сетей и подстанций,,1996-01-24,2020-07-02,,,,,3.5287223795726064,0.09122032970809515,0,32.99149587095364,,
ФИО_148,0,Участник мероприятия,Работы на токарных универсальных станках; ,Инженер,,2018-09-01,Акционерное общество РУСБУРМАШ,,,,,,,,25.745746817651636,,0,,,
ФИО_443,1,Участник мероприятия,Неразрушающий контроль; ,Водитель автомобидя,Нет,1992-09-29,"""Акционерное общество Инжиниринговая компания """"АСЭ""""""",,29.11.1987,2016-08-23,,,,,34.665851355278065,0.10769382767793356,0,46.366434694558706,1.2121786385811668,2.1975349193085716
ФИО_373,0,Участник мероприятия,Мехатроника; ,,,2020-06-16,АО «Гринатом»,,1996-06-14,декабрь 2018,,,,,2.273396880485821,0.09171551924674111,0,26.972820606681296,,
ФИО_580,0,Участник мероприятия,Управление жизненным циклом; ,Электросварщик ручной сварки,,2004-02-01,АО Сибирский химический комбинат,,1996-01-24,2018-03-29,Высшее,ИрГУПС,2000,Инженер,12.022123654673983,,0,35.692556593444934,,
ФИО_240,0,Участник мероприятия,Промышленная механика и монтаж; ,Ведущий инженер-проектировщик,Инженер,09.2020,"Акционерное общество ""Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии""",Мехатроника,27.12.1987,,,,,,37.92641313394181,,0,,,
ФИО_433,1,Участник мероприятия,Неразрушающий контроль; ,инженер 1 категории,,1997-04-23,"""АО """"Ангарский электролизный химический комбинат""""""",,05.10.2002,,,,,,24.702067478148596,0.10463946786928893,0,31.68086496766357,,
ФИО_473,0,Участник мероприятия,Технологии композитов; ,Оператор станков с ЧПУ,,2021-03-25,Институт компьютерных технологий и информационной безопасности при Южном Федеральном Университете,нет в предлагаемом списке,26.03.1984,2019-11-18,,,,,40.69357107593551,,0,,,
ФИО_141,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,Лаборант химического анализа 6 разряда,Инженер,10.10.2021,"ФГУП ""РФЯЦ-ВНИИЭФ"" - филиал НИИИС им. Ю.Е.Седакова",Программист,21.11.1994,2011-08-01,,,,,83.4467286227544,,0,41.88765257072973,,
ФИО_202,0,Участник мероприятия,Сметное дело; ,,,авг.07,"""АО """"Сибирский химический комбинат""""""",Электромонтаж,1987-10-16,,,,,,43.02425512187236,0.1318438775954187,0,27.960580569372393,,
ФИО_377,0,Участник мероприятия,Работы на токарных универсальных станках; ,Инженер-программист 1-й категории,Специалист (рабочие специальности),2021-05-13,ФГУП ПО «Маяк»,Радиационный контроль,1986-09-18,04.2009,,,,,43.01292481181352,0.14150536082489618,0,33.8115590441675,,
ФИО_247,0,Участник мероприятия,Работы на токарных универсальных станках; ,Ведущий специалист по ОТ и ПБ,,2008-06-26,ФГУП ПО МАЯК,,05.04.1975,2009-08-05,,,,,27.725727441439872,,0,38.16465585604202,,
ФИО_260,0,Участник мероприятия,Электроника; ,Инженер по радиационной безопасности 3 категории,Инженер,2021-02-02,"""филиал АО """"Концерн Росэнергоатом"""" """"Опытно-демонстрационный инженерный центр по выводу из эксплуатации""""""",нет в предлагаемом списке,1988-08-28,2007-09-29,,,,,39.9980340394299,,0,,,
ФИО_414,0,Участник мероприятия,Промышленная механика и монтаж; ,специалист по технической защите информации,,2005,"""Филиал Акционерного общества """"Русатом Инфраструктурные решения"""" в городе Новоуральске""",,,,,МИФИ,,,26.666998885278613,0.02948633143677213,0,27.05495622465916,1.4767608453282643,2.4388966173206326
ФИО_34,0,Участник мероприятия,Инженерное мышление. Каракури; ,Главный эксперт,,2017-11-15,"ФГБОУ ВО ""Алтайский государственный университет""",,1987-07-23,,,,,,0.0,0.04027946165248547,0,28.797018054069664,,
ФИО_338,0,Участник мероприятия,Электроника; ,Инженер-конструктор 2 категории,,,"""Акционерное общество """"Государственный научный центр Российской Федерации Троицкий институт инновационных и термоядерных исследований""""""",,,2016,,,,,1.6978068058936735,0.12645737010105929,0,34.2254920509384,,
ФИО_81,1,Участник мероприятия,Аналитический контроль; ,,Инженер,,Управление автомобильного транспорта,,,,Высшее,ФГАОУ ВО «ЮУрГУ (НИУ),,,20.597570854045696,,0,,,
