ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,individual_result,Скор/стаж,Перспективность,Возраст,Количество сложных задач,Количество средних задач
ФИО_314,0,Участник мероприятия,Машинное обучение и большие данные; ,,Инженер,,ООО ЗапСибНефтехим,,,,,,,,20.493134611284866,,0,,,
ФИО_575,0,Участник мероприятия,Информационная безопасность; ,ИАСУП,Инженер,июл.12,"""Филиал АО """"Русатом инфраструктурные решения в городе Глазове """,,1990-04-12,20022022,,,,,29.476067995072817,0.0348595106083435,0,33.99334526163896,,
ФИО_679,0,Участник мероприятия,Управление жизненным циклом; ,Электрогазосварщик,,2010-06-26,АО «АТОМПРОЕКТ»,,,,Высшее,,,,1.700905874832305,,0,,,
ФИО_475,0,Участник мероприятия,Водитель спецавтомобиля; ,Инженер по качеству,Инженер,2021-08-18,Снежинский физико-технический институт,,22.01.1997,2000-07-03,,,,,47.335815871385265,,0,,,
ФИО_569,0,Участник мероприятия,Охрана труда; ,Инженер-программист 1-й категории,,фев.14,Частное учреждение Цифрум,,21.04.1979,2014-11-11,,,,,39.958946693914434,,0,,,
ФИО_398,0,Участник мероприятия,Сетевое и системное администрирование; ,Электрогазосварщик 6р,,,"""Акционерное общество """"Атомтрубопроводмонтаж""""""",,1985-03-25,,,,,,34.46466484859709,,0,,,
ФИО_561,0,Участник мероприятия,Управление жизненным циклом; ,электросварщик,Специалист (рабочие специальности),1986-08-06,"Филиал АО ""Концерн Росэнергоатом"" ""Балаковская атомная станция""",Инженер-конструктор,1987-05-04,2020-01-09,,,,,8.261855417800398,0.24175259684694025,0,20.497304981819937,1.3290120390905553,1.9616111477663039
ФИО_425,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,инженер-программист 2 категории,Инженер,02.2000,Ремонтно-строительно-монтажный цех 097,нет в предлагаемом списке,15.12.1997,2014,,,,,55.75038280474647,,0,,,
ФИО_669,0,Участник мероприятия,Охрана окружающей среды; ,,,2016-10-10,"""ООО """"Курская АЭС-Сервис""""""",нет в предлагаемом списке,1999-02-18,2011-09-19,,,,,38.00973051381217,,0,26.411409216737884,,
ФИО_127,0,Участник мероприятия,Промышленная автоматика; ,нет,,"11,2014","""АО """"Ордена Трудового Красного Знамени и ордена труда ЧССР - опытное конструкторское бюро """"ГИДРОПРЕСС""""""",,,,,,,,55.9323865407527,,0,,,
ФИО_469,0,Участник мероприятия,Сварочные технологии; ,Инженер 3 к.,,2016-10-10,"ПАО ""ППГХО"" Объединенное автохозяйство",,2003-06-19,,,,,Информационные системы в экономике,14.37344520365724,0.0,0,34.74590894194881,,
ФИО_312,0,Участник мероприятия,Работы на токарных универсальных станках; ,Инженер по подготовке производства,,,"""АО """"Сибирский химический комбинат""""""",,02.02.1986,,,ИАТЭ НИЯУ МИФИ,,,64.24594664094738,,0,,,
ФИО_149,0,Участник мероприятия,Сметное дело; ,Водитель,,07.2021,"""ПАО """"Машиностроительный завод""""""",,1986-04-10,,,,,,51.82073410211599,,0,,,
ФИО_118,0,Участник мероприятия,Технологии композитов; ,Нет,,,Филиал АО ''Концерн Росэнергоатом'' ''Балаковская атомная станция'',,,,,,,,9.989171407076357,,0,,,
ФИО_451,0,Участник мероприятия,Технологические системы энергетических объектов; ,Сменный лаборант химического анализа,,2015-08-05,Федеральное государственное унитарное предприятие « Горно химический комбинат»,,1993-02-18,нет,,,,,46.592013201130925,,0,,,
ФИО_246,0,Участник мероприятия,Инженер-конструктор; ,Инженер,,2006-06-01,"Ведущий инженер по ремонту электрического цеха участка по ремонту генераторов, электродвигателей 6 и 0.4 кВ",,1986-09-18,-,,,,,41.36812093192036,,0,,,
ФИО_712,0,Участник мероприятия,Инженерное проектирование; ,Инженер- конструктор 3 категории,,2016-10-10,"ФГБОУ ВО ""Алтайский государственный университет""",,09.05.2002,2021-05-14,,Федеральное государственное бюджетное образовательное учреждение высшего образования Российский государственный университет имени А.Н. Косыгина (Технологии.Дизайн. Искусство);Федеральное государственное бюджетное образовательное учреждение высшего образования Российский государственный университет имени А.Н. Косыгина (Технологии.Дизайн. Искусство),2020,,9.971117222557309,,0,,,
ФИО_430,0,Участник мероприятия,Технологии композитов; ,Инженер по качеству,,2019-11-11,"АО ""Концерн Титан-2""",,1990-04-04,2003-02-06,,,,,42.37925196007692,0.024563146280330128,0,33.12706857197445,,
ФИО_158,0,Участник мероприятия,Строительный контроль; ,Инженер 1 категории,,08.2010,"Филиал АО ""Концерн Росэнергоатом"" ""Балаковская атомная станция""",,1983-03-18,,,,,,30.457909920468026,,0,,,
ФИО_526,0,Участник мероприятия,Управление качеством; ,инженер-технолог,,07.2021,"АО ""Атомстройэкспорт""",,,2020,,"МБОУ ""Средняя общеобразовательная школа №176""",,,0.0,,0,,,
ФИО_478,1,Участник мероприятия,Охрана труда; ,Начальник участка,,июн.15,"""ОАО """"Российский концерн по производству электрической и тепловой энергии на атомных станциях """"Росэнергоатом""""""",,1987-05-06,2005-01-17,,,,,28.859802756887454,,0,,,
ФИО_242,0,Участник мероприятия,Технологии композитов; ,Инженер-программист,,2016-10-10,Филиал АО ''Концерн Росэнергоатом'' ''Калининская атомная станция'',,1992-02-16,2021-07-18,Высшее,,,Эксплуатация железных дорог,48.44644237774826,,0,,,
ФИО_580,0,Участник мероприятия,Радиационный контроль; ,слесарь по КИПиА,,01.03.2009,НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЯДЕРНЫЙ УНИВЕРСИТЕТ МИФИ,,1988-07-23,2019-02-14,,,,,16.50600798764689,,0,24.386072726740448,,
ФИО_466,0,Участник мероприятия,Управление жизненным циклом; ,инженер-конструктор,Инженер,2020-12-01,Волгодонский филиал Акционерного общества «Инжиниринговая компания ,Мехатроника,1984-08-23,2011-01-20,,,,,0.0,,0,,,
ФИО_482,1,Участник мероприятия,Инженерное проектирование; ,Инженер-проектировщик 2-ой категории,Руководитель,03.2013,"""АО """"Чепецкий механический завод""""""",Электромонтаж,1996-08-24,12.03.2018,,,,,19.959013325084346,,0,,,
ФИО_405,1,Участник мероприятия,Охрана труда; ,Дозиметрист ОРБ,Инженер,2021-01-25,Комбинат «Электрохимприбор»,,,,,,,,25.77414621123215,0.171791611920191,0,33.154676694302616,,
ФИО_26,0,Участник мероприятия,Мехатроника; ,ведущий инженер,,2015-10-15,"""АО """"Центральное конструкторское бюро машиностроения""""""",,,,,"Балтийский государственный технический университет БГТУ ""Военмех"" им. Д.Ф. Устинова",,Нет,0.0,,0,,,
ФИО_326,0,Участник мероприятия,Сетевое и системное администрирование; ,Слесарь-ремонтник,,2012-08-09,Акционерное общество «КОНЦЕРН ТИТАН-2»,,1986-04-21,,,,,,0.0,0.07313083314595263,0,41.06488016796056,,
ФИО_272,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Специалист 2 категории,,2016-10-10,"""Акционерное общество """"Русатом автоматизированные системы управления""""""",,1984-01-03,24.12.2012,,,,,0.0,,0,,,
ФИО_120,1,Участник мероприятия,Работы на фрезерных универсальных станках; ,Инженер 1 категории,,1999-06-18,Филиал АО ''Концерн Росэнергоатом'' ''Смоленская атомная станция'',,,2021-08-02,,,,,57.675884449934685,,0,,,
ФИО_704,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Эксперт ГИП,,2020-02-12,Обнинский институт ядерной физики НИЯУ МИФИ,,26.03.1984,2017-11-01,,,2020,Информационные системы в экономике,0.0,0.0,0,28.803529526206315,,
ФИО_293,1,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер-электроник,,апр.19,"""НИЯУ МИФИ",,,-,,,,,25.489904757029297,0.0982156004151834,0,37.219359674394795,,
ФИО_336,1,Участник мероприятия,Строительный контроль; ,,,2014-03-04,-,,,,,,,,35.0403692782691,0.26280015759572306,0,24.670883919596214,,
ФИО_361,0,Участник мероприятия,Охрана окружающей среды; ,Слесарь по ссборке металлоконструкций 6 разряда,,1986-08-06,"""АО """"Сибирский химический комбинат""""""",,2000-02-12,2021-03-15,,,,,0.0,,0,,,
ФИО_63,0,Участник мероприятия,Управление жизненным циклом; ,Инженер по охране труда,,июн.11,Филиал АО ''Концерн Росэнергоатом'' ''Кольская атомная станция'',,,,,,,,10.600146371536114,,0,,,
ФИО_136,0,Участник мероприятия,Управление жизненным циклом; ,Ведущий инженер-технолог,,,"""АО """"Сибирский химический комбинат""""""",,,2020-07-02,,,,,0.0,,0,,,
ФИО_78,1,Участник мероприятия,Квантовые технологии; ,Нет,,,Балаковская атомная электростанция,,,,,,,,18.930556754057523,,0,30.925550542851205,,
ФИО_228,0,Участник мероприятия,Бетонные строительные работы; ,руководитель производственно-технической группы,,"11,2011","Филиал АО ""Концерн Росэнергоатом"" ""Балаковская атомная станция""",,2001-08-22,,,,,,0.0,,0,,,
ФИО_358,0,Участник мероприятия,Управление качеством; ,,,2006-01-16,ООО Трест Рос Спец Энерго монтаж,,1986-10-18,-,,,,,0.0,0.029669822045395797,0,31.461162385656497,,
ФИО_58,1,Участник мероприятия,Электроника; ,Инженер - конструктор 3 категории,,20.11.2017,"""ФГУП """"ПО""""Маяк""""""",,,2012-11-02,,,2006,,55.64907643875174,,0,,,
ФИО_447,0,Участник мероприятия,Управление жизненным циклом; ,Арматурщик 6 разряда,,апр.08,"""АО """"Сибирский химический комбинат""""""",,,,,,,,0.0,,0,,,
ФИО_321,0,Участник мероприятия,Информационная безопасность; ,Электоогазосварщик,,01.03.2021,"АО  ""Атомэнергопроект""",,,,,,,,45.198667927165346,,0,38.68137755050195,,
ФИО_422,0,Участник мероприятия,Управление жизненным циклом; ,инженер-технолог,,04.2002,"Акционерное общество ""Научно-исследовательский институт Научно-производственное объединение ""ЛУЧ""",нет в предлагаемом списке,1998-07-09,2000-07-03,,,,,0.0,0.0,0,38.09356124834142,,
ФИО_504,0,Участник мероприятия,Мехатроника; ,Инженер-конструктор 1 категории,,2007-01-01,Цех 90,,1991-07-05,2022-07-25,,,,,0.0,0.0,0,44.74195377373336,1.3013842761728152,1.8555761262139967
ФИО_259,0,Участник мероприятия,Инженер-конструктор; ,Арматурщик,,,Акционерное общество Атомспецтранс Озерский филиал,,1999-04-25,,,,,,9.394606807288389,,0,,,
ФИО_44,0,Участник мероприятия,Сетевое и системное администрирование; ,Разработчик,Нет,2012-08-01,Департамент капитального строительства,Радиационный контроль,1990-09-03,2007-05-23,,,,,0.0,0.19042067757267978,0,24.865429841013146,1.6630684408535417,2.0624220132983897
ФИО_559,0,Участник мероприятия,Технологии композитов; ,Фрезеровщик,Инженер,сент.2017,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,27.01.1991,2008-03-20,,,,,56.70528246015335,0.10680823844362818,0,34.89937646817244,1.0,1.5135895942396487
ФИО_581,0,Участник мероприятия,Строительный контроль; ,ведущий инженер,,2015-10-15,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,1979-03-18,,,,,,47.141796421283644,,0,,,
ФИО_572,1,Участник мероприятия,Технологии композитов; ,Электромонтер по ремонту и обслуживанию электрооборудования,,06.2014,ООО НПО Центротех,,2001-08-13,2017-07-05,,,,,0.0,,0,,,
ФИО_298,0,Участник мероприятия,Бетонные строительные работы; ,Инженер-технолог 2 категории,,,"""Филиал АО """"Русатом инфраструктурные решения в городе Глазове """,,,,,,,,18.89258224969753,,0,,,
ФИО_262,0,Участник мероприятия,Управление жизненным циклом; ,"Инженер (по инженерно-техническим средствам физической защиты, он же администратор автоматизированной системы контроля доступом комбината), 1 категория",,04.2018,Акционерное общество Чепецкий механический завод,,,2021-08-04,,,,Электроэнергетика и электротехника,0.0,0.12062169605387257,0,23.808780413576052,,
ФИО_464,0,Участник мероприятия,Работы на токарных универсальных станках; ,"Ведущий инженер по ремонту реакторов, ТТО 4ой очереди",,2012-08-08,Филиал АО ''Концерн Росэнергоатом'' ''Белоярская атомная станция'',,1991-01-25,01.09.2022,Среднее профессиональное,"ФГАОУ ВО ""Сибирский федеральный университет"";ФГБОУ ВО ""Сибирский государственный университет науки и технологий им. ак. М.Ф. Решетнева""",2021,,59.05540307271135,,0,,,
ФИО_206,1,Участник мероприятия,Программные решения для бизнеса; ,токарь,,,Служба управления проектами,,,,,,,,0.0,,0,,,
ФИО_23,0,Участник мероприятия,Неразрушающий контроль; ,Слесарь по ссборке металлоконструкций 6 разряда,,2012-05-30,Департамент капитального строительства,,23.06.1986,2004-10-01,Высшее;Высшее,ИрГУПС,2015;2014,Эксплуатация железных дорог,74.00171427701947,0.2460391697367862,0,30.499612247399654,,
ФИО_548,1,Участник мероприятия,Инженерное мышление. Каракури; ,Старший специалист,,2019-06-10,Снежинкий физико-технический институт НИЯУ МИФИ,,11.09.1991 .09.1991,,,,,,18.80562306878094,,0,,,
ФИО_233,0,Участник мероприятия,Управление жизненным циклом; ,ведущий инженер-проектировщик,,2016-10-10,"""ПАО """"Машиностроительный завод""""""",,27.05.1986,2021-12-24,,,,,6.8399084512708175,0.0,0,42.13626032830319,,
ФИО_341,0,Участник мероприятия,Управление качеством; ,Инженер,,2019-10-17,"Акционерное общество ""Центральное конструкторское бюро машиностроения""",,18.07.1991,2021-08-28,,,,140211 Электроснабжение,0.0,0.0,0,38.9986023138498,,
ФИО_75,0,Участник мероприятия,Охрана труда; ,Инженер по охране окружающей среды (эколог),Инженер,08.2010,"""АО """"Сибирский химический комбинат""""""",Вывод из эксплуатации объектов использования атомной энергии,1995-09-29,,,,,,27.487770060939525,,0,,,
ФИО_146,1,Участник мероприятия,Строительный контроль; ,Специалист,,03.2018,АО Гринатом,,,2004-10-01,,"ФГАОУ ВО ""Сибирский федеральный университет"";ФГБОУ ВО ""Сибирский государственный университет науки и технологий им. ак. М.Ф. Решетнева""",,,30.519410143627937,0.06358348060019732,0,30.29813343042223,,
ФИО_205,0,Участник мероприятия,Неразрушающий контроль; ,Специалист по охране труда 1 категории,,,"АО ""ВПО ""Точмаш""",,,,,,,,23.729448492113548,,0,,,
ФИО_201,1,Участник мероприятия,Инженер-конструктор; ,Ведущий специалист по планированию,,2012-11-01,Акционерное общество «Федеральный научно-производственный центр «Производственное объединение «Старт» имени М.В.Проценко»,,1984-06-25,,,ИДПО Уральского государственного горного университета,2015;2014,Электроэнергетика и электротехника,53.59320869305136,0.2186269995666511,0,27.45683689013785,,
ФИО_38,0,Участник мероприятия,Охрана труда; ,,,,Северский технологический институт,,,,,,,,12.997570736068683,,0,,,
ФИО_49,0,Участник мероприятия,Сетевое и системное администрирование; ,токарь,,июн.11,АО Научный и Конструкторский Институт Монтажной Технологии-Атомстрой,,,2017,,,,,0.0,0.034772459186804154,0,33.00392802049314,,
ФИО_565,0,Участник мероприятия,Охрана труда; ,Инженер по качеству,,2012-12-03,Комбинат «Электрохимприбор»,Инженер-конструктор,,,,,,,64.53681186599454,,0,,,
ФИО_553,0,Участник мероприятия,Неразрушающий контроль; ,Инженер по качеству,Инженер,2008-03-20,АО Сибирский химический комбинат,,1987-10-16,,,,,,24.38297905023568,0.0,0,41.67433685456884,,
ФИО_305,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,-,,,"ФГУП ""ПО ""Маяк""",,1982-08-12,,,,,,0.0,,0,,,
ФИО_254,1,Участник мероприятия,Управление жизненным циклом; ,Инженер по качеству,,03.2016,"""АО  """"Атомэнергопроект""""""",,,2022-04-15,,,,,0.0,0.08987425034511612,0,48.12712728824465,,
ФИО_470,1,Участник мероприятия,Программные решения для бизнеса; ,Ведущий эксперт,,2004-10-01,"ФГУП ""ОБЪЕДИНЕННЫЙ ЭКОЛОГО-ТЕХНОЛОГИЧЕСКИЙ И НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ПО ОБЕЗВРЕЖИВАНИЮ РАО И ОХРАНЕ ОКРУЖАЮЩЕЙ СР",,,,,,,,10.52113429301663,0.0,0,36.12127118215733,,
ФИО_476,1,Участник мероприятия,Сварочные технологии; ,Специалист 3 категории.,,-06-13,"""ФГУП """"Производственное объединение """"Маяк""""""",,,2010-03-01,,,,,25.722754519037327,,0,,,
ФИО_560,0,Участник мероприятия,Аналитический контроль; ,студент,,2005-09-12,"""Акционерное общество """"Опытное конструкторское бюро машиностроения имени И.И. Африкантова""""""",,1985-03-25,2021-09-17,,,,,17.645142685303696,,0,,,
ФИО_243,0,Участник мероприятия,Инженер-технолог машиностроения; ,Инженер-конструктор,,,Филиал АО ''Концерн Росэнергоатом'' ''Балаковская атомная станция'',,1993-01-16,21.04.2020,,,,,46.74206861618562,,0,,,
ФИО_345,1,Участник мероприятия,Инженер-конструктор; ,разработчик,,2020-10-05,"""АО """"Центральный проектно-технологический институт""""""",,,,среднее профессиональное,ИрГУПС,2015;2014,"Профессиональное обучение (информатика, вычислительная техника и компьютерные технологии)",53.043953325562164,0.16549354304445602,0,30.363442453692585,,
ФИО_385,0,Участник мероприятия,Технологии композитов; ,слесарь по КИПиА,,07.2002,"""АО """"Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии""""""",,1997-10-20,2020-02-03,,,,,56.58575131880139,0.04191580445477017,0,32.507648046473406,,
ФИО_546,0,Участник мероприятия,Сетевое и системное администрирование; ,Водитель кислотовоза,,июл.09,АО ''ИНСТИТУТ РЕАКТОРНЫХ МАТЕРИАЛОВ'',,1981-12-15,2019-09-07,,,,,24.728342563049466,,0,,,
ФИО_574,0,Участник мероприятия,Инженер-конструктор; ,лаборант химического анализа 5 разряда,,2000-07-28,Филиал АО ''Концерн Росэнергоатом'' ''Балаковская атомная станция'',,29.11.1996,2022-07-26,,,,,59.87018108786474,0.15166709450624377,0,28.54664273792704,,
ФИО_664,0,Участник мероприятия,Инженерное проектирование; ,Дозиметрист,,"10,2006",Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,22.01.1997,2020-09-08,,,,,0.0,0.11416193915645098,0,29.813666051606194,,
ФИО_52,0,Участник мероприятия,Аналитический контроль; ,Инженер-электроник,,июл.05,"ФГУП ""Горно-химический комбинат""",,,,высшее,ЮУрГУ,,,16.93517514601488,0.11570497732331442,0,19.80861435064942,1.8175431732991303,1.832048559604223
ФИО_295,1,Участник мероприятия,Сметное дело; ,Инженер-конструктор 3 категории,,08.2019,"""АО """"АТОМЭНЕРГОПРОЕКТ""""""",,,2017,,,2022,,6.810093839564894,0.02148114789315328,0,27.229213287969785,,
ФИО_292,0,Участник мероприятия,Строительный контроль; ,,,,"Акционерное общество ""Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии""",,,,,,,,0.0,,0,27.89601266127246,,
ФИО_431,0,Участник мероприятия,Сварочные технологии; ,,Инженер,2014-06-10,НВПК НИЯУ МИФИ,Программист,1983-03-18,,,,,,22.75563523287827,,0,,,
ФИО_94,1,Участник мероприятия,Программные решения для бизнеса; ,Электрогазосварщик,,01.06.2021,Акционерное общество «Концерн Титан 2»,,1994-11-03,,,,,,30.913179516188485,,0,,,
ФИО_393,1,Участник мероприятия,Управление жизненным циклом; ,Лаборант,,03.2002,"""ФГУП """"ПО"""" Маяк""""""",,1977-10-03,,Высшее,,,,3.8178419831590364,,0,,,
ФИО_698,0,Участник мероприятия,Управление качеством; ,Дозиметрист,Инженер,мар.12,"Филиал ПАО ""Корпорация ""Иркут"" в г.Воронеж",,1996-08-24,2021-05-14,,,,,0.0,,0,,,
ФИО_291,0,Участник мероприятия,Электромонтаж; ,Дозиметрист,Инженер,2003-02-05,Аэм технологии Атоммаш,,1974-12-27,2015-04-06,,,,,18.23188216914351,0.22724083079250493,0,41.16014432949578,,
ФИО_401,1,Участник мероприятия,Сетевое и системное администрирование; ,инженер-конструктор,,1993-09-01,АО «Атомэнергопроект» Санкт-Петербургский проектный институт ,,2004-06-18,,,,,,29.75852453047264,0.1204663583547138,0,23.80069479204031,,
ФИО_711,0,Участник мероприятия,Водитель спецавтомобиля; ,"инженер-исследователь, 2 категории",,02.04.2001,"Национальный исследовательский ядерный университет ""МИФИ""",,1999-02-18,,,,,,13.816251889461828,,0,,,
ФИО_126,0,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер-технолог3 категории,,2016-10-10,"""АО """"Сибирский химический комбинат""""""",,1996-06-20,2021-04-05,,,,,32.69223979583698,0.07652699472507576,0,38.803000048702046,,
ФИО_204,0,Участник мероприятия,Аналитический контроль; ,Лаборант химического анализа 7 разряд,,авг.07,"АО ""Чепецкий механический завод""",Управление качеством,1998-10-26,,,,,,37.348102979593655,0.11922400568409104,0,30.234048081655562,1.4626845199029281,2.703377846948589
ФИО_366,1,Участник мероприятия,Промышленная механика и монтаж; ,Ведущий специалист группы НК ЛМ ОГМ,Студент,2006-04-03,ОБПОУ Курский монтажный техникум,Промышленная автоматика,1971-11-12,2004-10-01,,,,,0.3563722770830182,0.0,0,32.96232363805822,,
ФИО_474,1,Участник мероприятия,Работы на токарных универсальных станках; ,оператор станков с ПУ,,2009-07-29,"""АО """"УЭХК""""",,21.10.1997,2019-01-14,,,,,53.896445758854476,0.07653602270018392,0,32.30776489506321,,
ФИО_107,1,Участник мероприятия,Управление жизненным циклом; ,Инженер по АСУП 1 категории,Нет,мар.12,Нет,нет в предлагаемом списке,12.08.1993,2018-06-04,,,,,0.0,0.0,0,37.43451089617861,,
ФИО_521,0,Участник мероприятия,Электромонтаж; ,Арматурщик,,01.11.1995,Росатом,,1986-03-06,,Высшее,,2020,,28.969078108194015,,0,,,
ФИО_30,0,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер-проектировщик 3 категории,Специалист (рабочие специальности),05.2021,"""АО """"Центральное конструкторское бюро машиностроения""""""",Управление качеством,1984-01-29,2005,,,,,0.0,,0,,,
ФИО_112,1,Участник мероприятия,Управление качеством; ,Инженер-конструктор 3 категории,,09.2007,"АО ""Ангарский электролизный химический комбинат""",,,,Высшее,МИФИ,,,0.0,,0,,,
ФИО_92,0,Участник мероприятия,Работы на токарных универсальных станках; ,,,27.06.2022,"""ПАО """"Машиностроительный завод""""""",Инженерное проектирование,1982-12-30,,,,,,43.64752961831947,,0,,,
ФИО_601,1,Участник мероприятия,Инженер-технолог машиностроения; ,Инженер-конструктор 3 категории,,2005-08-23,"""АО """"ЕВРАЗ НТМК""""""",,1977-09-04,2021-03-25,,,,,39.481236947111434,,0,20.47336598796699,,
ФИО_9,0,Участник мероприятия,Аналитический контроль; ,Инженер по охране труда,,,Снежинский физико-технический институт Национального исследовательского ядерного университета МИФИ,,,,,,,,29.349750630685882,0.10458003448495651,0,20.090909041927745,,
ФИО_304,0,Участник мероприятия,Электроника; ,,Нет,2017-02-01,Фгуп по маяк,Радиационный контроль,16.05.1996,2011-01-20,,,,,0.0,0.0,0,29.937080005147163,,
ФИО_245,0,Участник мероприятия,Промышленная механика и монтаж; ,Инженер технолог,Специалист (рабочие специальности),1991-09-01,Никимт атомстрой,Сетевое и системное администрирование,,2019-01-09,,,,,7.155962055331166,,0,,,
ФИО_586,1,Участник мероприятия,Охрана труда; ,Токарь,,2019-12-05,"АО ""Концерн Росэнергоатом"" филиал Нововоронежская АЭС",,2004-03-29,,,,,,21.126677994155003,0.0,0,32.95540628040505,,
ФИО_315,1,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,"инженер-исследователь, 2 категории",,2020,"""АО """"Сибирский химический комбинат""""""",,21.10.1997,2015-08-05,среднее профессиональное,Ульяновский государственный университет,2015;2014,,0.0,0.039148637371998085,0,31.479510624577753,,
ФИО_674,0,Участник мероприятия,Управление жизненным циклом; ,Сварщик,,08.2011,ОКБМ АФРИКАНТОВ ,,10.05.1980,Январь 2011,Высшее,ИжГТУ,,Промышленное и гражданское строительство,0.0,,0,,,
ФИО_294,1,Участник мероприятия,Неразрушающий контроль; ,Специалист по информационному моделированию,,02.2013,"Федеральное государственное унитарное предприятие «Производственное объединение «Маяк», служба информационных технологий",,1990-04-04,,,,,,0.0,,0,38.75753982859478,,
ФИО_392,1,Участник мероприятия,Информационная безопасность; ,Инженер,,,Фгуп по маяк,,1999-02-16,,,,,,13.73255413891916,,0,,,
ФИО_323,0,Участник мероприятия,Инженерное проектирование; ,мастер,Инженер,1997-04-23,ФГУП ПО «Маяк»,,26.03.1984,2014-04-21,,,,,9.652877266462374,0.06172454905618752,0,39.68200302056278,1.2218716189224181,1.7263308866456846
ФИО_143,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Заместитель начальника цеха по подготовке к выводу из эксплуатац,,"11,2017","ФГУП""Радон""",нет в предлагаемом списке,1999-02-18,15.01.2015,,,,,30.872688131278597,,0,,,
ФИО_108,1,Участник мероприятия,Охрана труда; ,Инженер-технолог 2 категории,,,"""АО """"Сибирский химический комбинат""""""",,,,,,,,0.0,0.0,0,25.983795363837523,,
ФИО_524,0,Участник мероприятия,Неразрушающий контроль; ,инженер-технолог участка изготовления твэлов транспортного направления,,2015-08-01,МОПК НИЯУ МИФИ,,2001-02-19,,,,,,39.70373118334658,,0,,,
