ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,individual_result,Скор/стаж,Перспективность,Возраст,Количество сложных задач,Количество средних задач
ФИО_358,0,Участник мероприятия,Программные решения для бизнеса; ,Токарь с ЧПУ,,2019-06-10,"Дирекция по поддержке производства , подземный рудник 1",,1982-06-21,2021-07-20,,,,,51.565792168312676,,0,,,
ФИО_282,0,Участник мероприятия,Инженерное проектирование; ,главный эксперт,,май.06,"""АО """"Сибирский химический комбинат""""""",,,,,,,,29.598743462306988,0.0,0,36.05555297730503,1.2425725123229332,2.4887213308243723
ФИО_597,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Монтажник детонаторных устройств,,1993-09-01,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,1999-02-16,5.06.2017,,,,,0.0,,0,,,
ФИО_255,0,Участник мероприятия,Неразрушающий контроль; ,Ведущий инженер управления с роительного контроля группы технического надзора,,06.2022,Фгуп Внииа им. Духова,нет в предлагаемом списке,1985-12-13,,,,,,49.217703253124235,,0,,,
ФИО_537,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер-проектировщик 3 категории,,2014-06-10,"Акционерное общество ""Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии""",,30.10.1994,,,,,,0.0,0.029401864726099423,0,26.811568517215363,1.1853762885257817,2.2063177008644494
ФИО_466,1,Участник мероприятия,Охрана окружающей среды; ,ведущий инженер,Специалист (рабочие специальности),июн.10,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,12.06.1990,10.10.2021,,,,,53.91346551985709,0.03548285550492443,0,24.07491596881044,1.0,
ФИО_487,0,Участник мероприятия,Аналитический контроль; ,Студент,Инженер,,"""АО """"Владимирское производственное объединение """"Точмаш""""""",нет в предлагаемом списке,07.09.1993,21.04.2020,,,,,31.352744402351775,0.004876731501690053,0,40.70426342119372,1.1992462243401203,2.2548328512529077
ФИО_491,0,Участник мероприятия,Технологии композитов; ,,,,АО Чепецкий механический завод,,1988-06-05,,,,,,28.100669832899023,0.03601343771247502,0,30.319160689174893,1.386021420652667,1.9294845921804067
ФИО_452,0,Участник мероприятия,Аналитический контроль; ,ведущий инженер-проектировщик,Специалист (рабочие специальности),2016-10-10,"Филиал АО ""Концерн Росэнергоатом"""" Нововоронежская атомная станция """,нет в предлагаемом списке,1992-06-26,2020-08-04,,,,,0.0,0.029364896477153186,0,24.683510659400245,,
ФИО_354,0,Участник мероприятия,Работы на токарных универсальных станках; ,Фрезеровщик,,07.2011,Обнинский институт атомной энергетики,,02.05.1993,2021-08-02,,,,,59.8444788889062,,0,,,
ФИО_400,0,Участник мероприятия,Инженер-конструктор; ,,Инженер,,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский уни",,2002-03-30,-,,,,,0.0,,0,,,
ФИО_520,1,Участник мероприятия,Сетевое и системное администрирование; ,"Ведущий инженер проектировщик отдела связи, сигнализации",,2007,ГАПОУ СО УРТК им. А.С. Попова,,1981-12-15,2021-05-14,,,,,25.66461700335581,,0,,,
ФИО_295,0,Участник мероприятия,Охрана окружающей среды; ,ведущий инженер по охране окружающей среды,,2012,"""АО """"ЕВРАЗ ОБЪЕДИНЕННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""""""",,,,,,,,28.362723797308032,,0,,,
ФИО_218,1,Участник мероприятия,Промышленная механика и монтаж; ,Бетонщик 5 р,,июн.15,"Департамент капитального строительства отдел генплана, изысканий и землеустройства",,,,,МИФИ,,,24.04814936175676,,0,26.79634222652174,,
ФИО_314,0,Участник мероприятия,Промышленная механика и монтаж; ,Инженер-электроник,,01.2014,Артем Александрович Бондаренко,,1988-07-15,,,,,,0.0,0.03453230872528356,0,29.03422479598576,1.2172221985740412,2.316688377477629
ФИО_243,0,Участник мероприятия,Неразрушающий контроль; ,Сварщик,Специалист (рабочие специальности),2012-06-01,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,,23.06.1986,27.06.2022,,,,,46.70345844736358,,0,,,
ФИО_426,1,Участник мероприятия,Сетевое и системное администрирование; ,Дозиметрист 6 разряда,Инженер,2018-09-01,Акционерное общество «Русатом Автоматизированные системы управления»,Программист,1996-06-20,,,,,,17.863204963012862,,0,27.37004038746575,,
ФИО_618,0,Участник мероприятия,Аддитивные технологии; ,Начальник отдела,Нет,2016-10-10,Акционерное общество Центральное Конструкторское Бюро Машиностроения ,Сметное дело,1999-02-18,2021-05-14,,,,,20.92142713466847,0.13418325520016916,0,33.459871203783386,,
ФИО_138,0,Участник мероприятия,Промышленная механика и монтаж; ,Слесарь-ремонтник,Инженер,07.2021,"АО ""КОНСИСТ-ОС""",,25.03.1991,2006-08-23,,,,,31.19682494891509,,0,,,
ФИО_338,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,слесарь-ремонтник 8разряда,Инженер,08.2002,Акционерное общество Чепецкий механический завод,,2002-03-06,02.08.2021,,,,,10.138332838262443,,0,,,
ФИО_269,0,Участник мероприятия,Мехатроника; ,Ведущий инженер-проектировщик,,янв.99,"""АО """"Сибирский химический комбинат""""""",,1994-05-25,,Высшее,,,,2.8674681921879213,0.08947030809383978,0,36.30953184100534,,
ФИО_258,0,Участник мероприятия,Работы на токарных универсальных станках; ,ведущий специалист,,07.12.2016,ФГУП РФЯЦ ВНИИЭФ,нет в предлагаемом списке,1985-08-24,2006-03-01,,,,,73.1761058792483,0.16261101893487007,0,22.430493059747977,,
ФИО_253,0,Участник мероприятия,Инженерное проектирование; ,ведущий инженер,Специалист (рабочие специальности),2018-11-05,"ФГБОУ ВО ""НИУ ""МЭИ""",,11.01.2002,2020-05-21,,,,,0.0,0.0,0,33.1823913069083,1.5002274102447974,
ФИО_563,0,Участник мероприятия,Работы на токарных универсальных станках; ,инженер-конструктор 2 категории,,06.2022,"""АО """"ЕВРАЗ ОБЪЕДИНЕННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""""""",,26.09.1979,2019-04-01,,,,,60.313826535246,,0,,,
ФИО_152,0,Участник мероприятия,Инженер-конструктор; ,разработчик,Инженер,2021,Технологический Институт Национальный Исследовательский Ядерный Университет МИФИ,нет в предлагаемом списке,29.01.1993,2021-05-14,,,,,27.473935423497572,0.024636213659264883,0,33.2873304015924,,
ФИО_658,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,Инженер по организации и проведению оценки соответствия,,1991-09-01,АО «Концерн Росэнергоатом» Нововоронежская Атомная Станция,,1994-06-15,2016,,,,,45.960755163008514,,0,,,
ФИО_164,0,Участник мероприятия,Управление жизненным циклом; ,,Инженер,09.2008,Институт теоретической и математической физики,Электроника,1998-08-09,07.2016,,,,,0.0,0.008059113517916515,0,37.59627859033474,,
ФИО_244,0,Участник мероприятия,Электроника; ,Оператор ПУ,,июл.05,"ФГУП ""ПО ""Маяк""",нет в предлагаемом списке,1985-01-16,,,,,,24.414157866814858,0.01787410977875379,0,41.6697521317114,,
ФИО_207,0,Участник мероприятия,Технологические системы энергетических объектов; ,Инженер-конструктор 1 категории,Инженер,2007-12-01,Санкт-Петербургский филиал АО «ФЦНИВТ «СНПО «Элерон» - «ВНИПИЭТ»,Программист,,2016,,,,,48.46716957986574,,0,,,
ФИО_344,0,Участник мероприятия,Электроника; ,Лаборант химического анализа 6 разряда,,2006-08-01,Федеральное Государственное Унитарное Предприятие «Производственное Объединение «МАЯК»,,1993-09-14,,,,,,62.179155360279466,0.14889532396903093,0,37.296879325280045,,
ФИО_226,1,Участник мероприятия,Сварочные технологии; ,"Лаборант химического анализа, 5 разряд",,,"""Акционерное общество """"Институт реакторных материалов""""""",,,,,,2022,,30.918077676975035,0.14415689194897668,0,35.67944632953689,,
ФИО_369,0,Участник мероприятия,Мехатроника; ,водитель грузового автомобиля 4 разряда,,01032002,ФГУП РФЯЦ ВНИИЭФ,,22.06.1993,,,,,,2.164650192276797,,0,,,
ФИО_235,0,Участник мероприятия,Промышленная автоматика; ,Инженер по подготовке производства,,,"""Акционерное общество """"Институт реакторных материалов""""""",,1986-07-27,2003-02-06,,,,,18.833779650928882,0.02563084412126794,0,26.954254140579888,,
ФИО_304,0,Участник мероприятия,Сварочные технологии; ,лаборант,Инженер,2020-06-16,"""АО """"Сибирский химический комбинат""""""",,,2022-01-10,,,,,0.0,,0,37.57985954204868,,
ФИО_393,0,Участник мероприятия,Работы на токарных универсальных станках; ,Ведущий специалист по охране труда,,июл.08,Служба управления проектами,,1983-03-18,,,,,,28.724841819188768,,0,,,
ФИО_111,1,Участник мероприятия,Управление жизненным циклом; ,,,,АО «Государственный специализированный проектный институт» ,,2004-06-18,,,,,,0.0,,0,,,
ФИО_479,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,ведущий инженер,,,Управление проектной продукции по качеству г Нижний Новгород АО Атомэнергопроект ,,,,,,,,56.39417359822681,0.2602874144230707,0,28.986633635566655,1.198169585901791,1.9621104494922563
ФИО_549,0,Участник мероприятия,Мехатроника; ,Инженер-конструктор 1 категории,Инженер,02.08.2021,ОКБМ АФРИКАНТОВ ,,1976-11-01,1995-05-29,,,,,0.0,0.027556017478389767,0,33.47745985740846,1.082379742083985,2.2800970273220944
ФИО_361,0,Участник мероприятия,Информационная безопасность; ,Электрогазосварщик,,мар.14,"""АО """"Уральский электрохимический комбинат""""""",,1999-02-16,04.2009,,ИрГУПС,2016,,0.0,0.0,0,43.62150970042781,,
ФИО_91,0,Участник мероприятия,Строительный контроль; ,Нет,,05.2015,Служба управления проектами,,30.05.1981,2019-08-26,,,,,20.917168156719622,0.0,0,35.250616407743436,,
ФИО_182,0,Участник мероприятия,Работы на токарных универсальных станках; ,Инженер-проектировщик 3 категории,,,"Филиал АО ""Концерн Росэнергоатом"" ""Балаковская атомная станция""",,,,,,,,25.78085203699095,,0,,,
ФИО_451,0,Участник мероприятия,Управление жизненным циклом; ,Токарь,Инженер,2016-10-10,Филиал АО «Концерн Росэнергоатом» «Опытно-демонстрационный инженерный центр по выводу из эксплуатации»,Радиационный контроль,1994-01-01,2021-05-14,,,,Проектирование технологических машин и комплексов,0.0,0.08572771451698073,0,37.00882983415055,,
ФИО_396,1,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Инженер по качеству,,2019-10-17,Акционерное общество Центральное Конструкторское Бюро Машиностроения ,,2002-04-12,,,,2005,,26.462923821123738,,0,,,
ФИО_29,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,,,2011,"""ФГУП """"Производственное объединение """"Маяк""""""",,25.09.1986,,,,,,26.178538800701265,,0,33.8166978101409,,
ФИО_502,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Нет,,,"Национальный исследовательский ядерный университет ""МИФИ""",,2002-09-17,,,,,,10.40298092705355,0.12283497321592479,0,31.14076604580739,,
ФИО_682,0,Участник мероприятия,Мехатроника; ,разработчик,,2018-09-03,"ООО ""ЗапСибНефтехим""",,12.06.1990,2020-03-18,,,,,6.551518398977388,,0,,,
ФИО_325,0,Участник мероприятия,Работы на токарных универсальных станках; ,Инженер-конструктор 2 категории,,2012-05-02,Департамент капитального строительства,,29.07.1991,,,,,,26.499907402251495,0.21230019997531777,0,25.71605541964455,,
ФИО_3,0,Участник мероприятия,Управление качеством; ,,,06.2008,Департамент капитального строительства,,1998-02-11,,,,,,0.0,,0,,,
ФИО_163,1,Участник мероприятия,Фрезерные работы на станках с ЧПУ; ,нет,,08.2020,АО ''ИНСТИТУТ РЕАКТОРНЫХ МАТЕРИАЛОВ'',,30.06.1991,,,,,,71.83381844794141,0.060814324796994654,0,34.15454494285134,1.3622654046136797,2.1093813351494877
ФИО_353,0,Участник мероприятия,Геодезия; ,Ведущий специалист,Инженер,июл.08,"""АО """"Сибирский химический комбинат""""""",Промышленная автоматика,1993-05-04,,,,,,11.285096047401016,0.10172912954715502,0,29.554809119997273,,
ФИО_513,1,Участник мероприятия,Сметное дело; ,Инженер по выводу из эксплуатации,,08.2020,"""АО Инжиниринговая компания """"АЭМ-технологии""""",,30.05.1981,,,,,,39.85403455892573,0.19773892786571814,0,30.072002326264425,,
ФИО_398,1,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Электрогазосварщик,,01.06.2021,"""Акционерное общество """"Специализированный научно-исследовательский институт приборостроения""""""",,09.07.11931993-07-09,,,,,,21.18438326747162,0.27076966754659926,0,25.921305681749793,,
ФИО_712,0,Участник мероприятия,Охрана труда; ,Электромонтер,,2019-06-10,ООО «Додо Инжиниринг»,,,,,,,,45.363599567613676,,0,,,
ФИО_327,0,Участник мероприятия,Сварочные технологии; ,слесарь по КИПиА,,2019-01-14,"""ООО """"ЗапСибНефтехим""""""",,1995-03-24,,,,,,9.251033540000913,,0,,,
ФИО_627,1,Участник мероприятия,Инженерное мышление. Каракури; ,,,2014,"""Федеральное государственное предприятие """"Национальный оператор по обращению с радиоактивными отходами""""""",,1992-01-07,2016-04-13,,,,,4.270542063453195,0.09097558409950182,0,34.05563468924526,,
ФИО_539,1,Участник мероприятия,Квантовые технологии; ,Специалист 1 категории,,сен.07,АО «ОКБМ АФРИКАНТОВ»,,1993-05-02,,,,,,34.633777957845936,,0,41.77510204748192,,
ФИО_322,1,Участник мероприятия,Программные решения для бизнеса; ,Ведущий специалист по охране труда,Инженер,2006-03-10,Управления по техническому контролю при изготовлении оборудования для АЭС Российской Федерации,Инженерное проектирование,1993-05-04,2021-12-01,,,,,0.0,,0,,,
ФИО_309,0,Участник мероприятия,Инженер-конструктор; ,Электромонтер по ремонту и обслуживанию электрооборудования,,,"Акционерное общество ""Научно-исследовательский институт Научно-производственное объединение ""ЛУЧ""",,06.08.1986,2022-01-10,,,,,17.521812448413087,,0,,,
ФИО_605,0,Участник мероприятия,Сварочные технологии; ,Эксперт MES/MOM,Инженер,2016-10-10,"""ФГУП """"Российский Федеральный Ядерный Центр - Всероссийский научно-исследовательский институт технической физики имени академика Е.И. Забабахина""""""",,1997-05-30,1995,,,,,33.37621119547393,,0,,,
ФИО_160,0,Участник мероприятия,Геодезия; ,,,,Филиал АО ''Концерн Росэнергоатом'' ''Балаковская атомная станция'',,,,,,,,38.14415192522543,,0,,,
ФИО_211,1,Участник мероприятия,Инженер-конструктор; ,Специалист по охране труда 1 категории,,2006-01-16,Никимт атомстрой,,,2013,,НИЯУ МИФИ,,,61.865323885509255,,0,,,
ФИО_305,0,Участник мероприятия,Управление качеством; ,Оператор систем радиационного и дозиметрического контроля,,03.2012,"""АО """"Консист-Оператор-Связи""""""",,1975-04-14,2009-08-05,,,,,3.1723718225280457,,0,,,
ФИО_349,1,Участник мероприятия,Сварочные технологии; ,Старший специалист WS,,08.2011,Служба управления проектами,,1993-09-12,,,,,,18.72100500178927,,0,,,
ФИО_334,0,Участник мероприятия,Промышленная механика и монтаж; ,Функциональный архитектор,Инженер,02.11.2012,АО ЕВРАЗ ЗСМК,,1974-12-27,2012-12-12,,,,,62.12928213237007,0.12713103629643757,0,28.386070535683203,1.6700293993711395,2.65165517689148
ФИО_49,0,Участник мероприятия,Сварочные технологии; ,Р-248,Нет,2018-03-12,"""Акционерное общество """"Чепецкий Механический завод""""""",Сетевое и системное администрирование,16.05.1996,2021-05-14,,,,"Бухгалтерский учет, анализ и аудит",32.39452890001395,,0,,,
ФИО_252,0,Участник мероприятия,Инженерное проектирование; ,нет,,2008-03-20,Балаковоатомэнергоремонт,,06.12.1981,,,,,,22.084796906565018,0.02149594782064357,0,30.33143371215438,,
ФИО_562,1,Участник мероприятия,Охрана окружающей среды; ,Инженер по охране окружающей среды (эколог),,27.07.2022,Санкт-Петербургский Государственный Университет,,1990-05-22,,,,,,25.769907993155595,,0,42.10918179085961,,
ФИО_463,0,Участник мероприятия,Работы на токарных универсальных станках; ,Инженер промышленной безопасности,,2006-03-10,ФГУП ПО МАЯК ПМЗ ЦИНО,,1997-08-07,-,,ИАТЭ НИЯУ МИФИ,,Эксплуатация железных дорог,44.76453129862435,0.15640668018363568,0,34.20087507280304,,
ФИО_567,0,Участник мероприятия,Работы на токарных универсальных станках; ,"Токарь, оператор станков с ПУ",,2013,"""ПАО """"Ковровский механический завод""""""",,1999-03-07,2017-11-20,,,,,36.8187604853287,,0,,,
ФИО_300,0,Участник мероприятия,Информационная безопасность; ,инженер,Нет,09.1988,Машиностроительный завод «ЗиО-Подольск»,нет в предлагаемом списке,1994-06-03,2001-08-03,,,,,5.729768547121894,0.0,0,39.100091839522584,1.434795521562919,
ФИО_517,0,Участник мероприятия,Бетонные строительные работы; ,Специалист по сметной документации,,,АО ЕВРАЗ НТМК ,,,,,,,,0.0,,0,,,
ФИО_371,0,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер,,,"Филиал АО ""Концерн Росэнергоатом ""Курская атомная станция""",Сетевое и системное администрирование,1980-11-03,2013-09-18,,,,,25.007143033891545,,0,,,
ФИО_256,0,Участник мероприятия,Промышленная автоматика; ,,,,"""АО """"Сибирский химический комбинат""""""",,20.01.1981,,Полное высшее,,,,22.597385258393338,0.13656736616212584,0,33.39492093958562,,
ФИО_589,1,Участник мероприятия,Управление жизненным циклом; ,Мастер-лаборант,Специалист (рабочие специальности),01.08.2007,"""ФГУП """"Всероссийский научно-исследовательский институт автоматики им. Н.Л. Духова""""""",Токарные / Фрезерные работы на станках с ЧПУ,21.10.1997,28-03-2022,,,,,27.233031899301793,0.011311683407185205,0,30.14301909147227,,
ФИО_635,1,Участник мероприятия,Инженерное проектирование; ,электросварщик ручной сварки 6-го разряда,,07.2016,Балоковский инженерно технологический институт,,1994-01-27,2019-11-01,,,,,29.01690366254372,0.20369104958070405,0,14.551301030690428,1.5669405726702819,1.9233733990327373
ФИО_570,0,Участник мероприятия,Неразрушающий контроль; ,токарь 6 р,,"12,2018","АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""",,11.02.1988,2020-06-05,,,,,43.3234841122062,0.08889984260187599,0,42.855416809868146,,
ФИО_155,0,Участник мероприятия,Программные решения для бизнеса; ,Инженер по качеству,,2020-02-12,Трест Рос Спец Энерго Монтаж,,1990-07-31,-,высшее,,,,0.0,0.03974687545265678,0,39.86100107240094,,
ФИО_376,0,Участник мероприятия,Работы на токарных универсальных станках; ,Мастер участка дефектоскопии,Специалист (рабочие специальности),27.08.2019,Акционерное общество «Атомспецтранс»,,1998-03-31,2009-03-10,,,,,51.320910712759776,,0,,,
ФИО_405,0,Участник мероприятия,Инженерное мышление. Каракури; ,Оператор станков с ЧПУ,,2020-12-02,"""АО """"Владимирское производственное объединение """"Точмаш""""""",,1993-05-02,2019-09-07,,,,,0.0,0.06681443324520744,0,27.28033649129017,,
ФИО_324,0,Участник мероприятия,Работы на токарных универсальных станках; ,Младший специалист WS,,янв.13,"""Акционерное общество Красноярский филиал """"Государственный специализированный проектный институт""""""",,,,,,2020,,73.5444710869671,,0,,,
ФИО_529,0,Участник мероприятия,Технологии композитов; ,Водитель,,2000-07-28,БИТИ НИЯУ МИФИ,Инженер-конструктор,1985-10-13,2017,,,,,7.953381154921903,,0,,,
ФИО_332,1,Участник мероприятия,Промышленная механика и монтаж; ,Главный спецалист,,2004,АО Уральский электрохимический комбинат,,1997-06-04,,,,,,29.19146807735542,,0,,,
ФИО_553,0,Участник мероприятия,Электромонтаж; ,руководитель производственно-технической группы,Специалист (рабочие специальности),2016-10-10,Трехгорный технологический университет филиал НИЯУ МИФИ,Вывод из эксплуатации объектов использования атомной энергии,23.05.1986,2013-09-04,,,,,23.3181336338425,,0,,,
ФИО_222,0,Участник мероприятия,Промышленная автоматика; ,Ведущий специалист по экологии,,,Татьяна Олеговна Вербицкая,,23.06.1986,,,,,,55.328592276992566,,0,,,
ФИО_608,0,Участник мероприятия,Инженерное мышление. Каракури; ,Электромонтёр 5 разряд,,"11,2007",АО «Государственный специализированный проектный институт» ,,,2014-03-04,,,,,0.0,,0,,,
ФИО_586,0,Участник мероприятия,Охрана окружающей среды; ,начальник отдела,,,"АО ""Цифровые платформы и решения Умного города""",,,,,,,,0.0,0.0,0,35.813239452485156,,
ФИО_446,0,Участник мероприятия,Управление жизненным циклом; ,Инженер-конструктор 1 категории,,,"""Филиал АО """"Концерн Росэнергоатом"""" Белоярская АЭС""",,1984-01-10,,,,,,3.110172156192771,,0,24.061311185860344,,
ФИО_173,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,"инженер-исследователь, 2 категории",Инженер,"11,2014","""АО """"Чепецкий механический завод""""""",нет в предлагаемом списке,,2016,,,,,22.151759429323583,0.0,0,34.17446755667799,,
ФИО_233,0,Участник мероприятия,Строительный контроль; ,Ведущий инженер,,2019-04-01,"""Фгуп""""ПСЗ"""" имени К. А. Володина""",,1994-01-27,,,,,,47.30321969819798,,0,,,
ФИО_347,1,Участник мероприятия,Управление качеством; ,Инженер-проектировщик 2 категории,Нет,0,ФГУП «Приборостроительный завод им. К.А. Володина»,Композиты и полимеры,,2020-03-05,,,,,28.184686602966487,,0,25.536677506058183,,
ФИО_509,1,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Мастер-лаборант,,,Филиал АО ''Концерн Росэнергоатом'' ''Смоленская атомная станция'',,06.12.1995,2020-09-15,,,,,27.587731998508556,,0,,,
ФИО_377,0,Участник мероприятия,Технологии композитов; ,Инженер-проектировщик 2 категории,Инженер,2021-05-13,"Акционерное общество ""Научно-исследовательский институт Научно-производственное объединение ""ЛУЧ""",,2002-03-06,,,,,,13.048698862857378,0.1533489588993605,0,32.30791155677909,,
ФИО_706,0,Участник мероприятия,Водитель спецавтомобиля; ,ведущий инженер по охране окружающей среды,Специалист (рабочие специальности),2016-10-10,АО “Сибирский химический комбинат“,,1998-07-10,2021-05-14,,,,Строительство и эксплуатация зданий и сооружений ;Промышленное и гражданское строительство,36.772812880022244,0.0587339756355948,0,35.39501944559388,1.0,1.4259168670042282
ФИО_384,0,Участник мероприятия,Строительный контроль; ,,Инженер,2021-12-09,Отдел технического контроля,,1985-05-19,2020-01-10,,,,,35.61340875694327,,0,,,
ФИО_432,0,Участник мероприятия,Аналитический контроль; ,Ведущий специалист по технической защите информации,,07.2012,"""АО Инжиниринговая компания """"АЭМ-технологии""""",,1997-05-30,2018-04-23,,,,,19.601233360727086,0.0,0,35.21122091422572,1.123998010017007,1.4619082493863496
ФИО_147,0,Участник мероприятия,Радиационный контроль; ,,,,"""Федеральное государственное унитарное предприятие """"НАЦИОНАЛЬНЫЙ ОПЕРАТОР ПО ОБРАЩЕНИЮ С РАДИОАКТИВНЫМИ ОТХОДАМИ""""""",,2003-06-09,2021-07-20,,,,,39.826294843574175,0.12127433529794092,0,29.741345951045535,,
ФИО_352,1,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер,,2011-10-06,"""АО """"Чепецкий Механический Завод",,2004-06-18,,,,,,11.391171834254166,0.0,0,30.027703485753864,,
ФИО_631,0,Участник мероприятия,Сметное дело; ,,Специалист (рабочие специальности),авг.07,"Филиал АО ""НИКИМТ-Атомстрой"" Дирекция на Курской АЭС",,1995-09-29,2017-06-09,,,,,41.06160869843241,0.20152018822191226,0,36.721964759015044,,
ФИО_194,0,Участник мероприятия,Работы на токарных универсальных станках; ,Инженер сменный,,,"ФГБОУ ВО НИУ ""МЭИ""",,,,,,,,32.900858999045035,0.01959232773290718,0,43.16309079435123,,
ФИО_372,1,Участник мероприятия,Охрана труда; ,Инженер - конструктор 3 категории,Специалист (рабочие специальности),06.2022,Управление Капитального Строительства,,1999-02-18,03.10.2005,,,2020,,0.0,,0,35.8886966622981,,
ФИО_342,0,Участник мероприятия,Бетонные строительные работы; ,инженер,,,"""Акционерное общество """"Производственное объединение """"Электрохимический завод""""""",,,,,,,,37.41109038911514,,0,,,
ФИО_177,0,Участник мероприятия,Сварочные технологии; ,Инженер по охране окружающей среды 3 категории,Инженер,"11,2007","Федеральное государственное унитарное предприятие ""Приборостроительный завод имени К.А. Володина""",Сварочные технологии,,,,,,,10.18242221628382,,0,,,
ФИО_632,0,Участник мероприятия,Работы на токарных универсальных станках; ,Главный специалист,Инженер,июл.09,АО ЕВРАЗ ЗСМК,,1983-09-23,2019,,,,,12.485280467603072,,0,,,
ФИО_687,0,Участник мероприятия,Аддитивные технологии; ,Инженер по качеству,,2016-10-10,ФГУП ПО «Маяк»,,1983-10-17,10.10.2021,,,,,60.31534566883104,,0,,,
ФИО_494,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Слесарь сборщик ЯБП,,,ФГУП ПО «Маяк»,,,,,,,,0.0,,0,28.490833899148022,,
ФИО_168,1,Участник мероприятия,Инженерное проектирование; ,водитель грузового автомобиля 4 разряда,Инженер,2006-11-27,Цифровые платформы и решения для умного города,,,2019-09-07,,,2014,Химия;Управление качеством,0.0,0.03931019503402985,0,36.15474459169295,,
